14.7, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000, 1100
0.1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 30, 40, 50, 60, 70, 80, 90, 100
           t         gam           m         rho
   3.1421E+03  1.1593E+00  2.8851E+01  3.8071E+00
   2.9332E+03  1.1629E+00  2.9101E+01  2.3517E+00
   3.1549E+03  1.1607E+00  2.8882E+01  4.5549E+00
   2.9424E+03  1.1645E+00  2.9126E+01  2.8140E+00
   3.1655E+03  1.1619E+00  2.8908E+01  5.3009E+00
   2.9500E+03  1.1659E+00  2.9147E+01  3.2753E+00
   3.1746E+03  1.1630E+00  2.8930E+01  6.0455E+00
   2.9564E+03  1.1671E+00  2.9165E+01  3.7357E+00
   3.1825E+03  1.1639E+00  2.8949E+01  6.7888E+00
   2.9620E+03  1.1682E+00  2.9180E+01  4.1954E+00
   3.1895E+03  1.1647E+00  2.8966E+01  7.5310E+00
   2.9669E+03  1.1692E+00  2.9194E+01  4.6545E+00
   3.1957E+03  1.1655E+00  2.8982E+01  8.2723E+00
   2.9712E+03  1.1700E+00  2.9205E+01  5.1130E+00
   2.8428E+03  1.1360E+00  2.8313E+01  1.2140E-01
   2.6920E+03  1.1369E+00  2.8638E+01  7.4824E-02
   2.9925E+03  1.1497E+00  2.8667E+01  7.9440E-01
   2.8097E+03  1.1526E+00  2.8949E+01  4.9023E-01
   3.0430E+03  1.1550E+00  2.8788E+01  1.5690E+00
   2.8474E+03  1.1589E+00  2.9051E+01  9.6872E-01
   3.0713E+03  1.1582E+00  2.8857E+01  2.3373E+00
   2.8679E+03  1.1626E+00  2.9107E+01  1.4435E+00
   3.0908E+03  1.1605E+00  2.8904E+01  3.1019E+00
   2.8818E+03  1.1653E+00  2.9144E+01  1.9161E+00
   3.1056E+03  1.1623E+00  2.8940E+01  3.8637E+00
   2.8922E+03  1.1674E+00  2.9173E+01  2.3871E+00
   3.1173E+03  1.1638E+00  2.8968E+01  4.6235E+00
   2.9004E+03  1.1691E+00  2.9195E+01  2.8569E+00
   3.1271E+03  1.1651E+00  2.8992E+01  5.3817E+00
   2.9071E+03  1.1705E+00  2.9214E+01  3.3257E+00
   3.1354E+03  1.1661E+00  2.9012E+01  6.1384E+00
   2.9127E+03  1.1718E+00  2.9229E+01  3.7938E+00
   3.1426E+03  1.1671E+00  2.9030E+01  6.8941E+00
   2.9176E+03  1.1729E+00  2.9243E+01  4.2612E+00
   3.1490E+03  1.1680E+00  2.9045E+01  7.6487E+00
   2.9219E+03  1.1739E+00  2.9255E+01  4.7280E+00
   3.1547E+03  1.1687E+00  2.9059E+01  8.4024E+00
   2.9257E+03  1.1747E+00  2.9265E+01  5.1943E+00
   2.8224E+03  1.1378E+00  2.8421E+01  1.2275E-01
   2.6687E+03  1.1397E+00  2.8736E+01  7.5659E-02
   2.9648E+03  1.1522E+00  2.8759E+01  8.0437E-01
   2.7782E+03  1.1565E+00  2.9027E+01  4.9643E-01
   3.0122E+03  1.1578E+00  2.8873E+01  1.5897E+00
   2.8125E+03  1.1630E+00  2.9120E+01  9.8161E-01
   3.0386E+03  1.1612E+00  2.8937E+01  2.3690E+00
   2.8310E+03  1.1669E+00  2.9171E+01  1.4633E+00
   3.0567E+03  1.1636E+00  2.8980E+01  3.1448E+00
   2.8434E+03  1.1697E+00  2.9205E+01  1.9429E+00
   3.0703E+03  1.1654E+00  2.9013E+01  3.9181E+00
   2.8525E+03  1.1719E+00  2.9230E+01  2.4211E+00
   3.0811E+03  1.1670E+00  2.9040E+01  4.6894E+00
   2.8598E+03  1.1736E+00  2.9250E+01  2.8981E+00
   3.0901E+03  1.1683E+00  2.9061E+01  5.4592E+00
   2.8657E+03  1.1751E+00  2.9266E+01  3.3743E+00
   3.0977E+03  1.1694E+00  2.9080E+01  6.2278E+00
   2.8706E+03  1.1764E+00  2.9280E+01  3.8497E+00
   3.1043E+03  1.1704E+00  2.9096E+01  6.9952E+00
   2.8749E+03  1.1775E+00  2.9292E+01  4.3246E+00
   3.1101E+03  1.1713E+00  2.9110E+01  7.7618E+00
   2.8786E+03  1.1785E+00  2.9302E+01  4.7989E+00
   3.1152E+03  1.1721E+00  2.9123E+01  8.5275E+00
   2.8819E+03  1.1794E+00  2.9311E+01  5.2728E+00
   2.8026E+03  1.1398E+00  2.8516E+01  1.2403E-01
   2.6459E+03  1.1427E+00  2.8821E+01  7.6453E-02
   2.9381E+03  1.1548E+00  2.8838E+01  8.1392E-01
   2.7475E+03  1.1604E+00  2.9092E+01  5.0238E-01
   2.9825E+03  1.1607E+00  2.8945E+01  1.6095E+00
   2.7786E+03  1.1672E+00  2.9177E+01  9.9399E-01
   3.0070E+03  1.1642E+00  2.9004E+01  2.3995E+00
   2.7952E+03  1.1713E+00  2.9223E+01  1.4823E+00
   3.0238E+03  1.1667E+00  2.9044E+01  3.1861E+00
   2.8062E+03  1.1742E+00  2.9253E+01  1.9687E+00
   3.0363E+03  1.1686E+00  2.9075E+01  3.9703E+00
   2.8143E+03  1.1764E+00  2.9276E+01  2.4538E+00
   3.0462E+03  1.1702E+00  2.9099E+01  4.7528E+00
   2.8207E+03  1.1781E+00  2.9293E+01  2.9378E+00
   3.0544E+03  1.1715E+00  2.9119E+01  5.5338E+00
   2.8259E+03  1.1796E+00  2.9308E+01  3.4210E+00
   3.0614E+03  1.1727E+00  2.9136E+01  6.3137E+00
   2.8302E+03  1.1809E+00  2.9320E+01  3.9036E+00
   3.0674E+03  1.1737E+00  2.9151E+01  7.0925E+00
   2.8339E+03  1.1821E+00  2.9330E+01  4.3856E+00
   3.0727E+03  1.1746E+00  2.9164E+01  7.8705E+00
   2.8372E+03  1.1831E+00  2.9339E+01  4.8672E+00
   3.0774E+03  1.1754E+00  2.9175E+01  8.6478E+00
   2.8401E+03  1.1839E+00  2.9348E+01  5.3483E+00
   2.7834E+03  1.1418E+00  2.8599E+01  1.2525E-01
   2.6236E+03  1.1458E+00  2.8894E+01  7.7211E-02
   2.9122E+03  1.1575E+00  2.8906E+01  8.2308E-01
   2.7177E+03  1.1644E+00  2.9147E+01  5.0810E-01
   2.9538E+03  1.1636E+00  2.9006E+01  1.6286E+00
   2.7458E+03  1.1715E+00  2.9224E+01  1.0059E+00
   2.9766E+03  1.1672E+00  2.9061E+01  2.4288E+00
   2.7607E+03  1.1756E+00  2.9265E+01  1.5007E+00
   2.9921E+03  1.1698E+00  2.9098E+01  3.2258E+00
   2.7705E+03  1.1785E+00  2.9292E+01  1.9936E+00
   3.0036E+03  1.1718E+00  2.9126E+01  4.0206E+00
   2.7777E+03  1.1808E+00  2.9312E+01  2.4853E+00
   3.0128E+03  1.1734E+00  2.9148E+01  4.8138E+00
   2.7833E+03  1.1826E+00  2.9328E+01  2.9761E+00
   3.0203E+03  1.1747E+00  2.9167E+01  5.6056E+00
   2.7878E+03  1.1841E+00  2.9341E+01  3.4662E+00
   3.0266E+03  1.1759E+00  2.9182E+01  6.3964E+00
   2.7916E+03  1.1853E+00  2.9351E+01  3.9556E+00
   3.0321E+03  1.1770E+00  2.9196E+01  7.1862E+00
   2.7949E+03  1.1864E+00  2.9360E+01  4.4446E+00
   3.0369E+03  1.1779E+00  2.9208E+01  7.9752E+00
   2.7977E+03  1.1874E+00  2.9368E+01  4.9331E+00
   3.0412E+03  1.1787E+00  2.9218E+01  8.7636E+00
   2.8002E+03  1.1883E+00  2.9376E+01  5.4212E+00
   2.6213E+03  1.1640E+00  2.9064E+01  1.3516E-01
   2.4302E+03  1.1793E+00  2.9264E+01  8.3399E-02
   2.6982E+03  1.1843E+00  2.9246E+01  8.9882E-01
   2.4714E+03  1.2012E+00  2.9380E+01  5.5586E-01
   2.7197E+03  1.1912E+00  2.9297E+01  1.7865E+00
   2.4815E+03  1.2077E+00  2.9409E+01  1.1058E+00
   2.7308E+03  1.1950E+00  2.9323E+01  2.6713E+00
   2.4865E+03  1.2112E+00  2.9423E+01  1.6543E+00
   2.7380E+03  1.1976E+00  2.9340E+01  3.5545E+00
   2.4896E+03  1.2134E+00  2.9433E+01  2.2020E+00
   2.7432E+03  1.1995E+00  2.9353E+01  4.4365E+00
   2.4918E+03  1.2150E+00  2.9439E+01  2.7492E+00
   2.7473E+03  1.2010E+00  2.9363E+01  5.3178E+00
   2.4935E+03  1.2163E+00  2.9444E+01  3.2959E+00
   2.7505E+03  1.2022E+00  2.9371E+01  6.1984E+00
   2.4949E+03  1.2173E+00  2.9448E+01  3.8424E+00
   2.7532E+03  1.2033E+00  2.9377E+01  7.0785E+00
   2.4960E+03  1.2182E+00  2.9452E+01  4.3886E+00
   2.7555E+03  1.2042E+00  2.9383E+01  7.9582E+00
   2.4969E+03  1.2189E+00  2.9454E+01  4.9346E+00
   2.7575E+03  1.2049E+00  2.9388E+01  8.8375E+00
   2.4977E+03  1.2195E+00  2.9457E+01  5.4804E+00
   2.7593E+03  1.2056E+00  2.9392E+01  9.7165E+00
   2.4984E+03  1.2201E+00  2.9459E+01  6.0261E+00
   2.5019E+03  1.1846E+00  2.9229E+01  1.4241E-01
   2.2879E+03  1.2071E+00  2.9362E+01  8.8012E-02
   2.5495E+03  1.2049E+00  2.9340E+01  9.5428E-01
   2.3069E+03  1.2248E+00  2.9417E+01  5.9141E-01
   2.5616E+03  1.2109E+00  2.9368E+01  1.9014E+00
   2.3111E+03  1.2293E+00  2.9430E+01  1.1794E+00
   2.5676E+03  1.2140E+00  2.9382E+01  2.8468E+00
   2.3132E+03  1.2315E+00  2.9436E+01  1.7667E+00
   2.5714E+03  1.2160E+00  2.9391E+01  3.7912E+00
   2.3144E+03  1.2329E+00  2.9440E+01  2.3535E+00
   2.5742E+03  1.2175E+00  2.9397E+01  4.7350E+00
   2.3154E+03  1.2339E+00  2.9443E+01  2.9401E+00
   2.5762E+03  1.2186E+00  2.9402E+01  5.6784E+00
   2.3160E+03  1.2347E+00  2.9445E+01  3.5264E+00
   2.5779E+03  1.2195E+00  2.9406E+01  6.6214E+00
   2.3166E+03  1.2353E+00  2.9447E+01  4.1126E+00
   2.5793E+03  1.2203E+00  2.9410E+01  7.5642E+00
   2.3170E+03  1.2358E+00  2.9448E+01  4.6987E+00
   2.5805E+03  1.2209E+00  2.9413E+01  8.5067E+00
   2.3174E+03  1.2362E+00  2.9450E+01  5.2847E+00
   2.5815E+03  1.2215E+00  2.9415E+01  9.4490E+00
   2.3177E+03  1.2366E+00  2.9451E+01  5.8705E+00
   2.5823E+03  1.2220E+00  2.9417E+01  1.0391E+01
   2.3180E+03  1.2369E+00  2.9452E+01  6.4564E+00
   2.4131E+03  1.2008E+00  2.9296E+01  1.4799E-01
   2.1856E+03  1.2258E+00  2.9388E+01  9.1619E-02
   2.4447E+03  1.2189E+00  2.9369E+01  9.9617E-01
   2.1957E+03  1.2389E+00  2.9419E+01  6.1841E-01
   2.4523E+03  1.2238E+00  2.9386E+01  1.9874E+00
   2.1979E+03  1.2420E+00  2.9425E+01  1.2347E+00
   2.4560E+03  1.2262E+00  2.9395E+01  2.9774E+00
   2.1990E+03  1.2435E+00  2.9429E+01  1.8505E+00
   2.4583E+03  1.2278E+00  2.9400E+01  3.9669E+00
   2.1996E+03  1.2444E+00  2.9431E+01  2.4660E+00
   2.4600E+03  1.2289E+00  2.9404E+01  4.9560E+00
   2.2001E+03  1.2451E+00  2.9432E+01  3.0814E+00
   2.4613E+03  1.2297E+00  2.9407E+01  5.9447E+00
   2.2004E+03  1.2456E+00  2.9434E+01  3.6966E+00
   2.4623E+03  1.2304E+00  2.9410E+01  6.9333E+00
   2.2007E+03  1.2460E+00  2.9435E+01  4.3118E+00
   2.4631E+03  1.2310E+00  2.9412E+01  7.9216E+00
   2.2009E+03  1.2463E+00  2.9435E+01  4.9268E+00
   2.4638E+03  1.2314E+00  2.9414E+01  8.9098E+00
   2.2011E+03  1.2466E+00  2.9436E+01  5.5419E+00
   2.4644E+03  1.2319E+00  2.9415E+01  9.8979E+00
   2.2013E+03  1.2468E+00  2.9437E+01  6.1568E+00
   2.4649E+03  1.2322E+00  2.9416E+01  1.0886E+01
   2.2015E+03  1.2470E+00  2.9437E+01  6.7717E+00
   2.3458E+03  1.2129E+00  2.9327E+01  1.5240E-01
   2.1109E+03  1.2381E+00  2.9394E+01  9.4485E-02
   2.3683E+03  1.2286E+00  2.9378E+01  1.0286E+00
   2.1170E+03  1.2480E+00  2.9413E+01  6.3933E-01
   2.3736E+03  1.2326E+00  2.9390E+01  2.0536E+00
   2.1183E+03  1.2503E+00  2.9417E+01  1.2772E+00
   2.3761E+03  1.2345E+00  2.9396E+01  3.0777E+00
   2.1190E+03  1.2513E+00  2.9419E+01  1.9147E+00
   2.3777E+03  1.2357E+00  2.9400E+01  4.1014E+00
   2.1194E+03  1.2520E+00  2.9421E+01  2.5520E+00
   2.3788E+03  1.2366E+00  2.9402E+01  5.1248E+00
   2.1196E+03  1.2525E+00  2.9422E+01  3.1892E+00
   2.3796E+03  1.2373E+00  2.9404E+01  6.1480E+00
   2.1199E+03  1.2528E+00  2.9422E+01  3.8264E+00
   2.3803E+03  1.2378E+00  2.9406E+01  7.1710E+00
   2.1200E+03  1.2531E+00  2.9423E+01  4.4635E+00
   2.3809E+03  1.2382E+00  2.9408E+01  8.1939E+00
   2.1202E+03  1.2533E+00  2.9424E+01  5.1005E+00
   2.3813E+03  1.2386E+00  2.9409E+01  9.2167E+00
   2.1203E+03  1.2535E+00  2.9424E+01  5.7375E+00
   2.3818E+03  1.2389E+00  2.9410E+01  1.0239E+01
   2.1204E+03  1.2537E+00  2.9424E+01  6.3744E+00
   2.3821E+03  1.2392E+00  2.9411E+01  1.1262E+01
   2.1205E+03  1.2538E+00  2.9425E+01  7.0114E+00
   2.2936E+03  1.2219E+00  2.9342E+01  1.5594E-01
   2.0547E+03  1.2466E+00  2.9393E+01  9.6796E-02
   2.3107E+03  1.2356E+00  2.9380E+01  1.0544E+00
   2.0587E+03  1.2543E+00  2.9406E+01  6.5590E-01
   2.3145E+03  1.2389E+00  2.9389E+01  2.1059E+00
   2.0596E+03  1.2560E+00  2.9409E+01  1.3107E+00
   2.3164E+03  1.2405E+00  2.9393E+01  3.1567E+00
   2.0600E+03  1.2568E+00  2.9411E+01  1.9652E+00
   2.3176E+03  1.2415E+00  2.9396E+01  4.2073E+00
   2.0603E+03  1.2573E+00  2.9412E+01  2.6197E+00
   2.3184E+03  1.2422E+00  2.9398E+01  5.2576E+00
   2.0605E+03  1.2577E+00  2.9412E+01  3.2740E+00
   2.3190E+03  1.2427E+00  2.9400E+01  6.3077E+00
   2.0606E+03  1.2580E+00  2.9413E+01  3.9283E+00
   2.3195E+03  1.2431E+00  2.9401E+01  7.3578E+00
   2.0608E+03  1.2582E+00  2.9413E+01  4.5825E+00
   2.3199E+03  1.2435E+00  2.9402E+01  8.4077E+00
   2.0609E+03  1.2583E+00  2.9414E+01  5.2367E+00
   2.3202E+03  1.2437E+00  2.9403E+01  9.4576E+00
   2.0609E+03  1.2585E+00  2.9414E+01  5.8909E+00
   2.3205E+03  1.2440E+00  2.9404E+01  1.0507E+01
   2.0610E+03  1.2586E+00  2.9414E+01  6.5451E+00
   2.3208E+03  1.2442E+00  2.9405E+01  1.1557E+01
   2.0611E+03  1.2587E+00  2.9415E+01  7.1992E+00
   2.2523E+03  1.2288E+00  2.9349E+01  1.5885E-01
   2.0110E+03  1.2527E+00  2.9390E+01  9.8688E-02
   2.2658E+03  1.2408E+00  2.9380E+01  1.0753E+00
   2.0140E+03  1.2589E+00  2.9400E+01  6.6932E-01
   2.2688E+03  1.2436E+00  2.9387E+01  2.1481E+00
   2.0146E+03  1.2603E+00  2.9402E+01  1.3378E+00
   2.2703E+03  1.2449E+00  2.9390E+01  3.2205E+00
   2.0149E+03  1.2609E+00  2.9403E+01  2.0060E+00
   2.2712E+03  1.2457E+00  2.9392E+01  4.2927E+00
   2.0151E+03  1.2613E+00  2.9404E+01  2.6742E+00
   2.2718E+03  1.2463E+00  2.9394E+01  5.3646E+00
   2.0152E+03  1.2616E+00  2.9405E+01  3.3423E+00
   2.2723E+03  1.2468E+00  2.9395E+01  6.4364E+00
   2.0154E+03  1.2618E+00  2.9405E+01  4.0103E+00
   2.2727E+03  1.2471E+00  2.9396E+01  7.5082E+00
   2.0154E+03  1.2620E+00  2.9406E+01  4.6784E+00
   2.2730E+03  1.2474E+00  2.9397E+01  8.5798E+00
   2.0155E+03  1.2621E+00  2.9406E+01  5.3464E+00
   2.2732E+03  1.2476E+00  2.9398E+01  9.6514E+00
   2.0156E+03  1.2622E+00  2.9406E+01  6.0143E+00
   2.2735E+03  1.2479E+00  2.9398E+01  1.0723E+01
   2.0156E+03  1.2623E+00  2.9406E+01  6.6823E+00
   2.2737E+03  1.2480E+00  2.9399E+01  1.1794E+01
   2.0157E+03  1.2624E+00  2.9407E+01  7.3502E+00
   2.2188E+03  1.2341E+00  2.9353E+01  1.6126E-01
   1.9763E+03  1.2572E+00  2.9387E+01  1.0026E-01
   2.2299E+03  1.2448E+00  2.9378E+01  1.0925E+00
   1.9785E+03  1.2624E+00  2.9395E+01  6.8038E-01
   2.2324E+03  1.2472E+00  2.9384E+01  2.1830E+00
   1.9790E+03  1.2636E+00  2.9397E+01  1.3601E+00
   2.2336E+03  1.2483E+00  2.9387E+01  3.2731E+00
   1.9793E+03  1.2641E+00  2.9398E+01  2.0396E+00
   2.2343E+03  1.2491E+00  2.9388E+01  4.3629E+00
   1.9794E+03  1.2644E+00  2.9398E+01  2.7190E+00
   2.2348E+03  1.2496E+00  2.9390E+01  5.4526E+00
   1.9795E+03  1.2647E+00  2.9399E+01  3.3984E+00
   2.2352E+03  1.2500E+00  2.9391E+01  6.5423E+00
   1.9796E+03  1.2648E+00  2.9399E+01  4.0778E+00
   2.2355E+03  1.2503E+00  2.9392E+01  7.6318E+00
   1.9797E+03  1.2650E+00  2.9399E+01  4.7571E+00
   2.2358E+03  1.2505E+00  2.9392E+01  8.7213E+00
   1.9797E+03  1.2651E+00  2.9400E+01  5.4364E+00
   2.2360E+03  1.2507E+00  2.9393E+01  9.8107E+00
   1.9798E+03  1.2652E+00  2.9400E+01  6.1157E+00
   2.2362E+03  1.2509E+00  2.9394E+01  1.0900E+01
   1.9798E+03  1.2653E+00  2.9400E+01  6.7950E+00
   2.2363E+03  1.2510E+00  2.9394E+01  1.1989E+01
   1.9798E+03  1.2653E+00  2.9400E+01  7.4743E+00
   2.1913E+03  1.2383E+00  2.9355E+01  1.6330E-01
   1.9481E+03  1.2608E+00  2.9384E+01  1.0159E-01
   2.2007E+03  1.2479E+00  2.9376E+01  1.1069E+00
   1.9498E+03  1.2652E+00  2.9390E+01  6.8966E-01
   2.2027E+03  1.2501E+00  2.9381E+01  2.2122E+00
   1.9502E+03  1.2662E+00  2.9392E+01  1.3787E+00
   2.2037E+03  1.2511E+00  2.9383E+01  3.3170E+00
   1.9504E+03  1.2666E+00  2.9393E+01  2.0677E+00
   2.2043E+03  1.2517E+00  2.9385E+01  4.4217E+00
   1.9505E+03  1.2669E+00  2.9393E+01  2.7565E+00
   2.2047E+03  1.2522E+00  2.9386E+01  5.5263E+00
   1.9506E+03  1.2671E+00  2.9393E+01  3.4454E+00
   2.2051E+03  1.2525E+00  2.9387E+01  6.6308E+00
   1.9507E+03  1.2673E+00  2.9394E+01  4.1342E+00
   2.2053E+03  1.2528E+00  2.9388E+01  7.7352E+00
   1.9507E+03  1.2674E+00  2.9394E+01  4.8230E+00
   2.2055E+03  1.2530E+00  2.9388E+01  8.8396E+00
   1.9508E+03  1.2675E+00  2.9394E+01  5.5117E+00
   2.2057E+03  1.2532E+00  2.9389E+01  9.9439E+00
   1.9508E+03  1.2675E+00  2.9394E+01  6.2005E+00
   2.2059E+03  1.2533E+00  2.9389E+01  1.1048E+01
   1.9508E+03  1.2676E+00  2.9395E+01  6.8892E+00
   2.2060E+03  1.2535E+00  2.9390E+01  1.2152E+01
   1.9509E+03  1.2677E+00  2.9395E+01  7.5780E+00
