14.7, 100, 200, 300, 400, 500, 600, 700, 800, 900, 1000
0.1,1,2,3,4,5,6,7,8,10,15,20,25,30,40,50
   t           gam         m           rho         
   3.5558E+03  1.2545E+00  2.5336E+01  1.7726E+00
   3.1520E+03  1.2575E+00  2.5336E+01  1.1068E+00
   3.5950E+03  1.2532E+00  2.5418E+01  2.3452E+00
   3.1886E+03  1.2561E+00  2.5418E+01  1.4641E+00
   3.6254E+03  1.2522E+00  2.5482E+01  2.9143E+00
   3.2170E+03  1.2551E+00  2.5482E+01  1.8192E+00
   3.6502E+03  1.2513E+00  2.5534E+01  3.4804E+00
   3.2403E+03  1.2542E+00  2.5534E+01  2.1724E+00
   3.6712E+03  1.2507E+00  2.5578E+01  4.0443E+00
   3.2599E+03  1.2535E+00  2.5578E+01  2.5242E+00
   3.6894E+03  1.2501E+00  2.5616E+01  4.6061E+00
   3.2769E+03  1.2529E+00  2.5616E+01  2.8747E+00
   3.7054E+03  1.2495E+00  2.5650E+01  5.1663E+00
   3.2919E+03  1.2524E+00  2.5650E+01  3.2241E+00
   3.7197E+03  1.2491E+00  2.5680E+01  5.7250E+00
   3.3053E+03  1.2519E+00  2.5680E+01  3.5726E+00
   3.1196E+03  1.2655E+00  2.5508E+01  9.9672E-02
   2.7515E+03  1.2691E+00  2.5508E+01  6.2302E-02
   3.3599E+03  1.2570E+00  2.6023E+01  6.4225E-01
   2.9749E+03  1.2602E+00  2.6023E+01  4.0111E-01
   3.4494E+03  1.2539E+00  2.6218E+01  1.2605E+00
   3.0584E+03  1.2570E+00  2.6218E+01  7.8701E-01
   3.5022E+03  1.2521E+00  2.6333E+01  1.8705E+00
   3.1077E+03  1.2551E+00  2.6333E+01  1.1676E+00
   3.5397E+03  1.2509E+00  2.6416E+01  2.4753E+00
   3.1428E+03  1.2538E+00  2.6416E+01  1.5450E+00
   3.5689E+03  1.2499E+00  2.6480E+01  3.0764E+00
   3.1702E+03  1.2527E+00  2.6480E+01  1.9199E+00
   3.5927E+03  1.2491E+00  2.6533E+01  3.6744E+00
   3.1925E+03  1.2519E+00  2.6533E+01  2.2930E+00
   3.6129E+03  1.2484E+00  2.6578E+01  4.2701E+00
   3.2114E+03  1.2512E+00  2.6578E+01  2.6645E+00
   3.6304E+03  1.2478E+00  2.6616E+01  4.8637E+00
   3.2278E+03  1.2506E+00  2.6616E+01  3.0347E+00
   3.6458E+03  1.2473E+00  2.6651E+01  5.4556E+00
   3.2423E+03  1.2501E+00  2.6651E+01  3.4038E+00
   3.6596E+03  1.2468E+00  2.6681E+01  6.0459E+00
   3.2552E+03  1.2496E+00  2.6681E+01  3.7719E+00
   3.0791E+03  1.2640E+00  2.6233E+01  1.0385E-01
   2.7175E+03  1.2675E+00  2.6233E+01  6.4906E-02
   3.3063E+03  1.2559E+00  2.6737E+01  6.7057E-01
   2.9289E+03  1.2590E+00  2.6737E+01  4.1874E-01
   3.3903E+03  1.2529E+00  2.6926E+01  1.3172E+00
   3.0073E+03  1.2560E+00  2.6926E+01  8.2227E-01
   3.4397E+03  1.2512E+00  2.7038E+01  1.9555E+00
   3.0535E+03  1.2542E+00  2.7038E+01  1.2205E+00
   3.4747E+03  1.2500E+00  2.7117E+01  2.5886E+00
   3.0863E+03  1.2529E+00  2.7117E+01  1.6155E+00
   3.5019E+03  1.2491E+00  2.7180E+01  3.2180E+00
   3.1118E+03  1.2519E+00  2.7180E+01  2.0081E+00
   3.5241E+03  1.2483E+00  2.7230E+01  3.8444E+00
   3.1326E+03  1.2511E+00  2.7230E+01  2.3988E+00
   3.5429E+03  1.2477E+00  2.7273E+01  4.4685E+00
   3.1502E+03  1.2505E+00  2.7273E+01  2.7880E+00
   3.5592E+03  1.2471E+00  2.7311E+01  5.0905E+00
   3.1655E+03  1.2499E+00  2.7311E+01  3.1759E+00
   3.5735E+03  1.2466E+00  2.7344E+01  5.7107E+00
   3.1789E+03  1.2494E+00  2.7344E+01  3.5627E+00
   3.5863E+03  1.2462E+00  2.7373E+01  6.3294E+00
   3.1909E+03  1.2489E+00  2.7373E+01  3.9486E+00
   3.0390E+03  1.2632E+00  2.6782E+01  1.0743E-01
   2.6831E+03  1.2668E+00  2.6782E+01  6.7133E-02
   3.2528E+03  1.2554E+00  2.7267E+01  6.9511E-01
   2.8820E+03  1.2586E+00  2.7267E+01  4.3405E-01
   3.3311E+03  1.2527E+00  2.7447E+01  1.3665E+00
   2.9551E+03  1.2557E+00  2.7447E+01  8.5307E-01
   3.3768E+03  1.2511E+00  2.7553E+01  2.0299E+00
   2.9979E+03  1.2540E+00  2.7553E+01  1.2669E+00
   3.4092E+03  1.2499E+00  2.7629E+01  2.6881E+00
   3.0282E+03  1.2529E+00  2.7629E+01  1.6776E+00
   3.4343E+03  1.2490E+00  2.7687E+01  3.3427E+00
   3.0517E+03  1.2519E+00  2.7687E+01  2.0859E+00
   3.4547E+03  1.2483E+00  2.7735E+01  3.9944E+00
   3.0708E+03  1.2512E+00  2.7735E+01  2.4924E+00
   3.4719E+03  1.2477E+00  2.7776E+01  4.6438E+00
   3.0870E+03  1.2506E+00  2.7776E+01  2.8975E+00
   3.4868E+03  1.2472E+00  2.7811E+01  5.2913E+00
   3.1009E+03  1.2500E+00  2.7811E+01  3.3012E+00
   3.4999E+03  1.2468E+00  2.7842E+01  5.9370E+00
   3.1132E+03  1.2496E+00  2.7842E+01  3.7039E+00
   3.5115E+03  1.2464E+00  2.7869E+01  6.5812E+00
   3.1242E+03  1.2492E+00  2.7869E+01  4.1057E+00
   3.0006E+03  1.2629E+00  2.7209E+01  1.1053E-01
   2.6496E+03  1.2665E+00  2.7209E+01  6.9072E-02
   3.2015E+03  1.2555E+00  2.7672E+01  7.1675E-01
   2.8364E+03  1.2587E+00  2.7672E+01  4.4756E-01
   3.2740E+03  1.2529E+00  2.7842E+01  1.4103E+00
   2.9042E+03  1.2560E+00  2.7842E+01  8.8042E-01
   3.3162E+03  1.2514E+00  2.7941E+01  2.0961E+00
   2.9436E+03  1.2544E+00  2.7941E+01  1.3083E+00
   3.3459E+03  1.2503E+00  2.8011E+01  2.7769E+00
   2.9714E+03  1.2533E+00  2.8011E+01  1.7331E+00
   3.3688E+03  1.2495E+00  2.8066E+01  3.4542E+00
   2.9928E+03  1.2524E+00  2.8066E+01  2.1556E+00
   3.3874E+03  1.2488E+00  2.8110E+01  4.1288E+00
   3.0103E+03  1.2518E+00  2.8110E+01  2.5764E+00
   3.4030E+03  1.2483E+00  2.8147E+01  4.8012E+00
   3.0249E+03  1.2512E+00  2.8147E+01  2.9958E+00
   3.4165E+03  1.2478E+00  2.8180E+01  5.4717E+00
   3.0376E+03  1.2507E+00  2.8180E+01  3.4140E+00
   3.4284E+03  1.2474E+00  2.8208E+01  6.1406E+00
   3.0487E+03  1.2503E+00  2.8208E+01  3.8312E+00
   3.4389E+03  1.2470E+00  2.8233E+01  6.8080E+00
   3.0586E+03  1.2499E+00  2.8233E+01  4.2475E+00
   2.9298E+03  1.2629E+00  2.7819E+01  1.1575E-01
   2.5869E+03  1.2666E+00  2.7819E+01  7.2329E-02
   3.1062E+03  1.2563E+00  2.8234E+01  7.5374E-01
   2.7510E+03  1.2597E+00  2.8234E+01  4.7070E-01
   3.1681E+03  1.2540E+00  2.8382E+01  1.4858E+00
   2.8087E+03  1.2573E+00  2.8382E+01  9.2763E-01
   3.2034E+03  1.2528E+00  2.8467E+01  2.2107E+00
   2.8417E+03  1.2559E+00  2.8467E+01  1.3800E+00
   3.2281E+03  1.2519E+00  2.8526E+01  2.9312E+00
   2.8647E+03  1.2550E+00  2.8526E+01  1.8296E+00
   3.2469E+03  1.2512E+00  2.8572E+01  3.6486E+00
   2.8823E+03  1.2543E+00  2.8572E+01  2.2773E+00
   3.2621E+03  1.2506E+00  2.8609E+01  4.3635E+00
   2.8965E+03  1.2537E+00  2.8609E+01  2.7234E+00
   3.2747E+03  1.2502E+00  2.8639E+01  5.0765E+00
   2.9084E+03  1.2532E+00  2.8639E+01  3.1682E+00
   3.2856E+03  1.2498E+00  2.8666E+01  5.7879E+00
   2.9186E+03  1.2528E+00  2.8666E+01  3.6120E+00
   3.2951E+03  1.2494E+00  2.8689E+01  6.4979E+00
   2.9274E+03  1.2524E+00  2.8689E+01  4.0549E+00
   3.3035E+03  1.2491E+00  2.8710E+01  7.2066E+00
   2.9353E+03  1.2521E+00  2.8710E+01  4.4971E+00
   2.7823E+03  1.2651E+00  2.8616E+01  1.2537E-01
