time_s,altitude_m
20.2664999999981,2922.39474418949
20.2669999999981,2922.41971974536
20.2674999999981,2922.44469278041
20.2679999999981,2922.46966329465
20.2684999999981,2922.49463128809
20.2689999999981,2922.51959676074
20.2694999999981,2922.54455971262
20.2699999999981,2922.56952014374
20.2704999999981,2922.5944780541
20.2709999999981,2922.61943344374
20.2714999999981,2922.64438631265
20.2719999999981,2922.66933666085
20.2724999999981,2922.69428448835
20.2729999999981,2922.71922979517
20.2734999999981,2922.74417258132
20.2739999999981,2922.76911284681
20.2744999999981,2922.79405059165
20.2749999999981,2922.81898581587
20.2754999999981,2922.84391851946
20.2759999999981,2922.86884870246
20.2764999999981,2922.89377636486
20.2769999999981,2922.9187015067
20.2774999999981,2922.94362412797
20.2779999999981,2922.96854422869
20.2784999999981,2922.99346180889
20.2789999999981,2923.01837686856
20.2794999999981,2923.04328940773
20.2799999999981,2923.06819942641
20.2804999999981,2923.0931069246
20.2809999999981,2923.11801190233
20.2814999999981,2923.1429143596
20.2819999999981,2923.16781429644
20.2824999999981,2923.19271171284
20.2829999999981,2923.21760660882
20.2834999999981,2923.2424989844
20.2839999999981,2923.26738883959
20.2844999999981,2923.2922761744
20.2849999999981,2923.31716098885
20.2854999999981,2923.34204328295
20.2859999999981,2923.36692305671
20.2864999999981,2923.39180031015
20.2869999999981,2923.41667504328
20.2874999999981,2923.44154725612
20.2879999999981,2923.46641694868
20.2884999999981,2923.49128412097
20.2889999999981,2923.51614877301
20.2894999999981,2923.54101090481
20.2899999999981,2923.56587051639
20.2904999999981,2923.59072760775
20.2909999999981,2923.61558217892
20.2914999999981,2923.64043422989
20.2919999999981,2923.66528376069
20.2924999999981,2923.69013077133
20.2929999999981,2923.71497526182
20.2934999999981,2923.73981723217
20.2939999999981,2923.7646566824
20.2944999999981,2923.78949361251
20.2949999999981,2923.81432802253
20.2954999999981,2923.83915991246
20.295999999998,2923.86398928233
20.296499999998,2923.88881613214
20.296999999998,2923.9136404619
20.297499999998,2923.93846227164
20.297999999998,2923.96328156137
20.298499999998,2923.98809833109
20.298999999998,2924.01291258083
20.299499999998,2924.0377243106
20.299999999998,2924.06253352041
20.300499999998,2924.08734021027
20.300999999998,2924.1121443802
20.301499999998,2924.1369460302
