time,pressure,thrust
1.225,412.049,3487.279
1.230,419.768,3541.901
1.235,413.013,3494.727
1.240,405.294,3474.865
1.245,411.084,3405.345
1.250,414.943,3551.833
1.255,414.943,3474.865
1.260,418.803,3512.107
1.265,416.873,3551.833
1.270,413.013,3517.073
1.275,413.978,3427.691
1.280,415.908,3479.830
1.285,416.873,3494.727
1.290,413.013,3467.416
1.295,418.803,3487.279
1.300,418.803,3551.833
1.305,415.908,3484.796
1.310,418.803,3546.867
1.315,416.873,3551.833
1.320,416.873,3499.693
1.325,411.084,3507.142
1.330,416.873,3425.208
1.335,422.663,3507.142
1.340,413.013,3541.901
1.345,419.768,3440.105
1.350,418.803,3544.384
1.355,417.838,3484.796
1.360,413.013,3509.624
1.365,416.873,3494.727
1.370,418.803,3492.244
1.375,423.628,3551.833
1.380,417.838,3586.593
1.385,416.873,3472.382
1.390,413.013,3494.727
1.395,413.978,3447.553
1.400,407.224,3452.519
1.405,415.908,3522.039
1.410,409.154,3455.002
1.415,416.873,3477.347
1.420,416.873,3534.453
1.425,409.154,3464.933
1.430,412.049,3462.450
1.435,411.084,3477.347
1.440,411.084,3492.244
1.445,406.259,3487.279
1.450,413.013,3432.656
1.455,412.049,3531.970
1.460,403.364,3450.036
1.465,412.049,3387.965
1.470,407.224,3546.867
1.475,404.329,3445.070
1.480,411.084,3477.347
1.485,401.434,3487.279
1.490,409.154,3333.342
1.495,404.329,3509.624
1.500,397.574,3380.516
1.505,405.294,3402.862
1.510,401.434,3527.004
1.515,406.259,3452.519
1.520,403.364,3407.828
1.525,405.294,3464.933
1.530,403.364,3432.656
1.535,400.469,3397.896
1.540,407.224,3422.725
1.545,407.224,3489.762
1.550,395.644,3385.482
1.555,404.329,3395.414
1.560,407.224,3464.933
1.565,404.329,3422.725
1.570,408.189,3387.965
1.575,403.364,3459.968
1.580,403.364,3402.862
1.585,407.224,3430.173
1.590,404.329,3450.036
1.595,411.084,3355.688
1.600,404.329,3477.347
1.605,407.224,3395.414
1.610,409.154,3338.308
1.615,409.154,3464.933
1.620,410.119,3445.070
1.625,411.084,3368.102
1.630,400.469,3363.137
1.635,401.434,3296.100
1.640,403.364,3360.654
1.645,403.364,3318.445
1.650,413.013,3358.171
1.655,407.224,3402.862
1.660,408.189,3378.034
1.665,403.364,3328.377
1.670,403.364,3348.240
1.675,407.224,3363.137
1.680,402.399,3370.585
1.685,401.434,3368.102
1.690,403.364,3373.068
1.695,399.504,3370.585
1.700,405.294,3370.585
1.705,404.329,3395.414
1.710,409.154,3328.377
1.715,405.294,3467.416
1.720,400.469,3370.585
1.725,404.329,3397.896
1.730,404.329,3400.379
1.735,402.399,3365.619
1.740,399.504,3385.482
1.745,404.329,3402.862
1.750,401.434,3397.896
1.755,399.504,3355.688
1.760,400.469,3301.065
1.765,400.469,3415.276
1.770,397.574,3328.377
1.775,398.539,3303.548
1.780,395.644,3330.860
1.785,401.434,3348.240
1.790,392.749,3382.999
1.795,403.364,3315.963
1.800,395.644,3392.931
1.805,399.504,3251.409
1.810,399.504,3353.205
1.815,399.504,3298.583
1.820,397.574,3345.757
1.825,391.784,3273.754
1.830,397.574,3288.651
1.835,395.644,3363.137
1.840,393.714,3251.409
1.845,395.644,3268.789
1.850,401.434,3301.065
1.855,399.504,3358.171
1.860,395.644,3318.445
1.865,399.504,3293.617
1.870,395.644,3338.308
1.875,395.644,3308.514
1.880,397.574,3306.031
1.885,391.784,3333.342
1.890,398.539,3306.031
1.895,399.504,3360.654
1.900,395.644,3296.100
1.905,395.644,3308.514
1.910,397.574,3281.203
1.915,392.749,3234.029
1.920,397.574,3330.860
1.925,392.749,3345.757
1.930,395.644,3209.200
1.935,392.749,3368.102
1.940,400.469,3231.546
1.945,395.644,3437.622
1.950,392.749,3318.445
1.955,395.644,3206.717
1.960,395.644,3450.036
1.965,391.784,3261.340
1.970,391.784,3224.097
1.975,395.644,3293.617
1.980,395.644,3298.583
1.985,397.574,3370.585
1.990,398.539,3298.583
1.995,397.574,3363.137
2.000,395.644,3288.651
2.005,397.574,3306.031
2.010,388.889,3306.031
2.015,392.749,3181.889
2.020,391.784,3390.448
2.025,390.819,3231.546
2.030,392.749,3199.269
2.035,391.784,3343.274
2.040,389.854,3276.237
2.045,393.714,3283.686
2.050,387.924,3323.411
2.055,385.994,3199.269
2.060,391.784,3248.926
2.065,397.574,3368.102
2.070,385.994,3298.583
2.075,388.889,3268.789
2.080,391.784,3296.100
2.085,385.994,3271.271
2.090,390.819,3308.514
2.095,387.924,3360.654
2.100,387.924,3266.306
2.105,384.064,3325.894
2.110,387.924,3253.891
2.115,385.994,3298.583
2.120,384.064,3266.306
2.125,384.064,3258.857
2.130,381.169,3286.168
2.135,384.064,3278.720
2.140,382.134,3271.271
2.145,384.064,3325.894
2.150,381.169,3338.308
2.155,380.204,3263.823
2.160,382.134,3286.168
2.165,377.309,3296.100
2.170,376.344,3211.683
2.175,373.449,3253.891
2.180,373.449,3261.340
2.185,380.204,3216.649
2.190,378.274,3340.791
2.195,374.414,3278.720
2.200,378.274,3176.923
2.205,377.309,3330.860
2.210,374.414,3276.237
2.215,373.449,3206.717
2.220,368.624,3251.409
2.225,374.414,3189.337
2.230,377.309,3298.583
2.235,368.624,3278.720
2.240,368.624,3132.232
2.245,368.624,3241.477
2.250,368.624,3209.200
2.255,372.484,3236.512
2.260,366.694,3238.994
2.265,364.764,3216.649
2.270,364.764,3226.580
2.275,366.694,3201.752
2.280,368.624,3253.891
2.285,368.624,3273.754
2.290,360.904,3243.960
2.295,360.904,3162.026
2.300,368.624,3201.752
2.305,364.764,3301.065
2.310,358.009,3241.477
2.315,358.974,3169.475
2.320,360.904,3181.889
2.325,358.974,3194.303
2.330,358.974,3263.823
2.335,358.974,3231.546
2.340,357.044,3201.752
2.345,358.009,3147.129
2.350,357.044,3256.374
2.355,353.184,3122.301
2.360,356.079,3189.337
2.365,357.044,3266.306
2.370,350.289,3144.646
2.375,353.184,3152.095
2.380,351.254,3238.994
2.385,350.289,3147.129
2.390,355.114,3152.095
2.395,353.184,3263.823
2.400,350.289,3171.958
2.405,349.324,3154.578
2.410,350.289,3152.095
2.415,346.430,3137.198
2.420,353.184,3162.026
2.425,347.395,3241.477
2.430,349.324,3122.301
2.435,349.324,3149.612
2.440,348.360,3209.200
2.445,351.254,3166.992
2.450,346.430,3194.303
2.455,343.535,3152.095
2.460,345.465,3144.646
2.465,349.324,3164.509
2.470,345.465,3243.960
2.475,341.605,3124.784
2.480,343.535,3171.958
2.485,342.570,3209.200
2.490,338.710,3119.818
2.495,341.605,3094.989
2.500,339.675,3199.269
2.505,337.745,3117.335
2.510,335.815,3072.644
2.515,333.885,3085.058
2.520,331.955,3085.058
2.525,331.955,3047.815
2.530,335.815,3162.026
2.535,328.095,3159.543
2.540,336.780,3132.232
2.545,338.710,3129.749
2.550,335.815,3169.475
2.555,341.605,3082.575
2.560,328.095,3181.889
2.565,330.025,2990.710
2.570,333.885,3087.541
2.575,333.885,3137.198
2.580,330.025,3030.435
2.585,336.780,3060.230
2.590,330.990,3114.852
2.595,330.990,3070.161
2.600,333.885,3062.712
2.605,333.885,3087.541
2.610,331.955,3109.886
2.615,330.025,3102.438
2.620,330.025,3094.989
2.625,326.165,3112.369
2.630,330.025,3032.918
2.635,327.130,3085.058
2.640,327.130,3090.024
2.645,325.200,3042.850
2.650,322.305,3097.472
2.655,322.305,3030.435
2.660,324.235,3037.884
2.665,322.305,3176.923
2.670,322.305,3037.884
2.675,325.200,3075.127
2.680,326.165,3144.646
2.685,323.270,3057.747
2.690,326.165,3070.161
2.695,319.410,3072.644
2.700,320.375,3055.264
2.705,318.445,3090.024
2.710,316.515,3020.504
2.715,317.480,3045.333
2.720,315.550,3030.435
2.725,319.410,3035.401
2.730,321.340,3099.955
2.735,319.410,3099.955
2.740,315.550,3055.264
2.745,312.655,3018.021
2.750,318.445,2938.570
2.755,324.235,3094.989
2.760,313.620,3027.953
2.765,316.515,2943.536
2.770,318.445,3045.333
2.775,325.200,3013.056
2.780,317.480,3027.953
2.785,312.655,2970.847
2.790,314.585,2955.950
2.795,315.550,3042.850
2.800,316.515,3020.504
2.805,315.550,3010.573
2.810,312.655,2983.261
2.815,312.655,3042.850
2.820,308.795,3030.435
2.825,314.585,3005.607
2.830,311.690,3072.644
2.835,308.795,3010.573
2.840,309.760,2980.779
2.845,308.795,3050.298
2.850,309.760,2970.847
2.855,306.865,3025.470
2.860,314.585,3003.124
2.865,311.690,3052.781
2.870,304.935,3060.230
2.875,303.005,2941.053
2.880,301.075,2941.053
2.885,304.935,2973.330
2.890,306.865,3005.607
2.895,300.110,3005.607
2.900,304.935,2980.779
2.905,303.970,2990.710
2.910,299.145,2948.502
2.915,303.005,2936.087
2.920,304.935,3037.884
2.925,303.005,2993.193
2.930,302.040,2963.399
2.935,304.935,3010.573
2.940,302.040,2931.122
2.945,297.215,2933.605
2.950,295.285,2849.188
2.955,296.250,2878.982
2.960,295.285,2921.190
2.965,296.250,2903.810
2.970,286.600,2911.259
2.975,295.285,2933.605
2.980,296.250,2938.570
2.985,292.390,2896.362
2.990,293.355,2903.810
2.995,295.285,2883.948
3.000,300.110,2824.359
3.005,294.320,2903.810
3.010,296.250,2898.845
3.015,293.355,2950.984
3.020,292.390,2913.742
3.025,291.425,2898.845
3.030,295.285,2985.744
3.035,295.285,2950.984
3.040,291.425,2953.467
3.045,293.355,2933.605
3.050,292.390,2980.779
3.055,292.390,2926.156
3.060,293.355,2995.676
3.065,292.390,2953.467
3.070,287.565,2866.568
3.075,292.390,2898.845
3.080,288.530,2963.399
3.085,289.495,2893.879
3.090,291.425,2903.810
3.095,295.285,2953.467
3.100,287.565,2955.950
3.105,288.530,2883.948
3.110,290.460,2943.536
3.115,293.355,2958.433
3.120,287.565,2958.433
3.125,287.565,2836.774
3.130,289.495,2933.605
3.135,293.355,2918.707
3.140,289.495,2871.533
3.145,284.671,2911.259
3.150,287.565,2851.671
3.155,287.565,2931.122
3.160,283.706,2878.982
3.165,280.811,2821.877
3.170,284.671,2849.188
3.175,281.776,2826.842
3.180,284.671,2811.945
3.185,283.706,2864.085
3.190,283.706,2854.154
3.195,281.776,2933.605
3.200,277.916,2864.085
3.205,281.776,2752.357
3.210,281.776,2936.087
3.215,288.530,2903.810
3.220,279.846,2849.188
3.225,280.811,2841.739
3.230,281.776,2893.879
3.235,287.565,2896.362
3.240,279.846,2923.673
3.245,276.951,2811.945
3.250,279.846,2861.602
3.255,282.741,2878.982
3.260,279.846,2893.879
3.265,282.741,2928.639
3.270,284.671,2906.293
3.275,281.776,2936.087
3.280,283.706,2901.328
3.285,280.811,2916.225
3.290,279.846,2851.671
3.295,285.635,2933.605
3.300,283.706,2963.399
3.305,285.635,2891.396
3.310,280.811,3022.987
3.315,279.846,2854.154
3.320,283.706,2903.810
3.325,283.706,2978.296
3.330,288.530,2881.465
3.335,278.881,2888.913
3.340,276.951,2859.119
3.345,279.846,2844.222
3.350,276.951,2928.639
3.355,276.951,2856.636
3.360,275.986,2839.256
3.365,276.951,2846.705
3.370,276.951,2901.328
3.375,275.986,2856.636
3.380,279.846,2878.982
3.385,272.126,2849.188
3.390,274.056,2856.636
3.395,277.916,2906.293
3.400,274.056,2903.810
3.405,272.126,2829.325
3.410,274.056,2876.499
